pressure_level,latitude,longitude,valid_time,number,cc,r,crwc,t,u,v
1000.0,13.8,-75.5,2020-01-01,0,0.0,84.424736,6.052139e-08,25.457682,-9.282365,-1.4918556
1000.0,13.8,-75.5,2020-01-02,0,0.0,80.325615,6.3274946e-08,25.891539,-11.149129,-1.6689477
1000.0,13.8,-75.5,2020-01-03,0,,,,,,
1000.0,13.8,-75.5,2020-01-04,0,0.0,85.5391,2.5263301e-07,25.529081,-10.663121,-2.0883496
1000.0,13.8,-75.5,2020-01-05,0,,,,,,
1000.0,13.8,-75.5,2020-01-06,0,0.0,79.148315,4.341978e-07,25.223473,-5.416542,-5.552188
1000.0,13.8,-75.5,2020-01-07,0,,,,,,
1000.0,13.8,-75.5,2020-01-08,0,0.0,86.90752,3.8765907e-06,25.041134,-10.979981,-4.078986
1000.0,13.8,-75.5,2020-01-09,0,,,,,,
1000.0,13.8,-75.5,2020-01-10,0,0.0,81.45991,1.0646204e-06,25.415012,-16.131847,-3.2122717
1000.0,13.8,-75.5,2020-01-11,0,,,,,,
1000.0,13.8,-75.5,2020-01-12,0,0.0,80.83957,4.264117e-08,25.751162,-16.869467,-2.5671766
1000.0,13.8,-75.5,2020-01-13,0,,,,,,
1000.0,13.8,-75.5,2020-01-14,0,0.0,79.42021,2.7693034e-07,25.323698,-16.831343,-4.2247267
1000.0,13.8,-75.5,2020-01-15,0,,,,,,
1000.0,13.8,-75.5,2020-01-16,0,0.0,83.25755,8.8398275e-07,25.615477,-14.823258,-3.147594
1000.0,13.8,-75.5,2020-01-17,0,0.0,84.060425,7.533112e-07,25.496857,-15.28536,-6.049031
1000.0,13.8,-75.5,2020-01-18,0,,,,,,
1000.0,13.8,-75.5,2020-01-19,0,0.0,78.05173,1.0453508e-07,25.65089,-15.826067,-2.57469
1000.0,13.8,-75.5,2020-01-20,0,,,,,,
1000.0,13.8,-75.5,2020-01-21,0,0.0,84.529205,8.8306393e-07,25.09567,-8.618348,-2.4543471
1000.0,13.8,-75.5,2020-01-22,0,,,,,,
1000.0,13.8,-75.5,2020-01-23,0,0.0,86.28244,4.7546393e-07,24.475512,1.3260614,-4.5217037
1000.0,13.8,-75.5,2020-01-24,0,,,,,,
1000.0,13.8,-75.5,2020-01-25,0,0.0,81.48873,9.014145e-07,24.469448,-2.216565,-4.0101657
1000.0,13.8,-75.5,2020-01-26,0,,,,,,
1000.0,13.8,-75.5,2020-01-27,0,0.0,80.1962,2.1044639e-07,24.949831,-5.3949,-2.1248498
1000.0,13.8,-75.5,2020-01-28,0,,,,,,
1000.0,13.8,-75.5,2020-01-29,0,0.0,88.20185,7.3450326e-07,24.296795,-5.303167,-2.9922278
1000.0,13.8,-75.5,2020-01-30,0,,,,,,
